Variable,Importance,StDev,method,area,week,resp,model
wet_effect,1.5116208062721563,0.17646210459749526,perm_rmse,KIL,33,moist_mean,lm
soil_type,2.376352321676765,0.32247040813629396,perm_rmse,KIL,33,moist_mean,lm
soil_type,0.31395157511194743,0.020934638118401287,perm_r2,KIL,33,moist_mean,gam
pisr_summer_10m,0.009411474854642821,0.005065253290364089,perm_r2,KIL,33,moist_mean,gam
twi_luke,0.09856583196834441,0.012876615392027257,perm_r2,KIL,33,moist_mean,gam
dtw_0_5ha,0.019632428031335462,0.008551754717225963,perm_r2,KIL,33,moist_mean,gam
tpi20,0.0029526605699103257,0.003968764708113309,perm_r2,KIL,33,moist_mean,gam
tpi500,0.025683006439589075,0.009196992046771662,perm_r2,KIL,33,moist_mean,gam
wet_effect,0.21305306212678707,0.03556141130849651,perm_r2,KIL,33,moist_mean,gam
soil_type,2.477344078182655,0.4180285143155088,perm_rmse,KIL,33,moist_mean,gam
pisr_summer_10m,0.10319042589056995,0.051489667863018986,perm_rmse,KIL,33,moist_mean,gam
twi_luke,0.8305847481241942,0.18665679385499565,perm_rmse,KIL,33,moist_mean,gam
dtw_0_5ha,0.15231977291185075,0.08053590031490347,perm_rmse,KIL,33,moist_mean,gam
tpi20,0.0349111688259919,0.036938938134528046,perm_rmse,KIL,33,moist_mean,gam
tpi500,0.151567719601732,0.04470923416153422,perm_rmse,KIL,33,moist_mean,gam
wet_effect,1.5948252834031074,0.2512812249281752,perm_rmse,KIL,33,moist_mean,gam
pisr_summer_10m,0.011707710117242143,0.005387519047227385,perm_r2,KIL,34,moist_mean,lm
twi_luke,0.07714722197933743,0.01950079996603543,perm_r2,KIL,34,moist_mean,lm
dtw_0_5ha,0.04004037085086974,0.014565759835700558,perm_r2,KIL,34,moist_mean,lm
tpi20,0.0058725352581679045,0.0022817985634616773,perm_r2,KIL,34,moist_mean,lm
tpi500,0.010578661241239956,0.006371940904848074,perm_r2,KIL,34,moist_mean,lm
wet_effect,0.18869948218579224,0.030636324278260414,perm_r2,KIL,34,moist_mean,lm
soil_type,0.2909053269344083,0.025129135879072898,perm_r2,KIL,34,moist_mean,lm
pisr_summer_10m,0.083527706419342,0.05373959503475058,perm_rmse,KIL,34,moist_mean,lm
twi_luke,0.6075972183628527,0.11661781882457027,perm_rmse,KIL,34,moist_mean,lm
dtw_0_5ha,0.37274470080166805,0.0779809454471557,perm_rmse,KIL,34,moist_mean,lm
tpi20,0.031830270819423315,0.04020745079657735,perm_rmse,KIL,34,moist_mean,lm
tpi500,0.09219107240405204,0.04741981066740961,perm_rmse,KIL,34,moist_mean,lm
wet_effect,1.5814387538134362,0.26791859122396483,perm_rmse,KIL,34,moist_mean,lm
soil_type,2.3673484824736732,0.3560035668767146,perm_rmse,KIL,34,moist_mean,lm
soil_type,0.2828478231619134,0.03021726270170978,perm_r2,KIL,34,moist_mean,gam
pisr_summer_10m,0.020964391492686217,0.00665989813055805,perm_r2,KIL,34,moist_mean,gam
twi_luke,0.06953657527140404,0.022096908552108323,perm_r2,KIL,34,moist_mean,gam
