term,estimate,std.error,statistic,p.value,area,week,resp,pred,model
twi_luke,2.834586593233079,0.6430651360278935,4.407930759148053,6.0247292815282344e-5,PIS,27,moist_mean,twi_luke,lm
(Intercept),34.9701481657103,2.139896425235145,16.341981674121243,5.149054193194575e-21,PIS,27,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.7500748505736667,0.3035958069476672,-5.764489530236953,6.105008532228194e-7,PIS,27,moist_mean,dtw_0_5ha,lm
(Intercept),8.15430673715515,3.537874304114588,2.3048604998972397,0.02563841662924676,PIS,27,moist_mean,swi,lm
swi,2.508200941794798,0.4491643317083877,5.584149863937115,1.1399349132618302e-6,PIS,27,moist_mean,swi,lm
(Intercept),6.077411658155863,4.565753159687928,1.3310863390107708,0.18958171827238549,PIS,28,moist_mean,twi_luke,lm
twi_luke,2.896914013548677,0.6301317600662184,4.597314715963928,3.235146129152196e-5,PIS,28,moist_mean,twi_luke,lm
(Intercept),34.59915735640007,2.123684657724222,16.292040925453186,5.821265705052023e-21,PIS,28,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.7366577637920673,0.3012957775717193,-5.763963165327399,6.116168494344394e-7,PIS,28,moist_mean,dtw_0_5ha,lm
(Intercept),7.577646846123579,3.456079897593314,2.192555458975463,0.03332533302205521,PIS,28,moist_mean,swi,lm
swi,2.5466032847335835,0.43877981072642847,5.803829671464411,5.325756887596308e-7,PIS,28,moist_mean,swi,lm
(Intercept),3.3454017849215303,4.498062893658585,0.7437427763933474,0.4607342014224063,PIS,29,moist_mean,twi_luke,lm
twi_luke,3.064403921987573,0.6207896460752519,4.936299987219998,1.043054877115613e-5,PIS,29,moist_mean,twi_luke,lm
(Intercept),33.23464710496883,2.1142157480198116,15.719610042682076,2.4220023634593735e-20,PIS,29,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.7818144121643174,0.2999523848501257,-5.940324205305516,3.313420176144139e-7,PIS,29,moist_mean,dtw_0_5ha,lm
(Intercept),4.68799144261603,3.3198421495699475,1.4121127545848264,0.16450386589725458,PIS,29,moist_mean,swi,lm
swi,2.72808644118887,0.42148322758518947,6.472586007322139,5.167078071692505e-8,PIS,29,moist_mean,swi,lm
(Intercept),8.055927262760527,4.4694908295890015,1.8024261755787787,0.07789294295148082,PIS,30,moist_mean,twi_luke,lm
twi_luke,2.801656376125036,0.6168463393761833,4.541903221729988,3.883983412081806e-5,PIS,30,moist_mean,twi_luke,lm
(Intercept),35.39389201376747,2.123473458981127,16.667922956169164,2.3266935944358607e-21,PIS,30,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.631290887033828,0.3012658139472747,-5.414789237650855,2.0435604948876828e-6,PIS,30,moist_mean,dtw_0_5ha,lm
(Intercept),9.28995480230227,3.3612224722119097,2.763861921995558,0.008131841276788239,PIS,30,moist_mean,swi,lm
swi,2.4932569201143644,0.42673682434065874,5.842610194155704,4.6545199773924104e-7,PIS,30,moist_mean,swi,lm
(Intercept),5.633115355031199,4.58794172227159,1.2278088293244755,0.22563250300123389,PIS,31,moist_mean,twi_luke,lm
twi_luke,2.8869725477302977,0.6331940627149096,4.559380319126797,3.6666672713505355e-5,PIS,31,moist_mean,twi_luke,lm
(Intercept),33.88650622395256,2.165290953465092,15.649862744646093,2.8885374727981304e-20,PIS,31,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.6972419753374197,0.3071986319251325,-5.524900826221957,1.398649812244362e-6,PIS,31,moist_mean,dtw_0_5ha,lm
