fit_area,week,resp,pred_area,model,loocv_R2,loocv_rmse
VAR,34,moist_mean,KAR,lm,0.0656545276783635,16.51595832027615
VAR,34,moist_mean,VAR,lm,0.3904239912219461,12.988149779086163
VAR,34,moist_mean,KIL,gam,0.25584261940326425,13.066595795362725
VAR,34,moist_mean,TII,gam,0.3927118633852865,11.346626225789668
VAR,34,moist_mean,PIS,gam,0.02389617585677048,16.997737522910313
VAR,34,moist_mean,HYY,gam,0.3753841102097336,20.440474361151303
VAR,34,moist_mean,KAR,gam,0.02636471585619966,16.519919876808416
VAR,34,moist_mean,VAR,gam,0.34457784165960026,13.852520476978192
VAR,35,moist_mean,KIL,lm,0.290789944460367,13.250920674542956
VAR,35,moist_mean,TII,lm,0.4103867039485891,10.938613764056534
VAR,35,moist_mean,PIS,lm,0.03544386065265171,15.25340550108408
VAR,35,moist_mean,HYY,lm,0.3397448623225679,21.318343734840365
VAR,35,moist_mean,KAR,lm,0.03254723214417001,15.927076727005478
VAR,35,moist_mean,VAR,lm,0.37640050893548416,13.005578590277132
VAR,35,moist_mean,KIL,gam,0.2797414210289754,12.913783725793404
VAR,35,moist_mean,TII,gam,0.4024167464169515,11.044403615376273
VAR,35,moist_mean,PIS,gam,0.004485992135907748,16.206388456930387
VAR,35,moist_mean,HYY,gam,0.3708492152556392,20.292335232868716
VAR,35,moist_mean,KAR,gam,0.006832034562103375,15.64952342411493
VAR,35,moist_mean,VAR,gam,0.3326924854910183,13.857487206340735
VAR,36,moist_mean,KIL,lm,0.26711000458967876,14.641764379999104
VAR,36,moist_mean,TII,lm,0.4254959300929945,10.887011784950348
VAR,36,moist_mean,PIS,lm,0.04678215305557577,15.61253592663207
VAR,36,moist_mean,HYY,lm,0.3716201759271738,21.622982135639084
VAR,36,moist_mean,KAR,lm,0.03022073753154942,16.49220734892424
VAR,36,moist_mean,VAR,lm,0.377961421232951,13.591065246474487
VAR,36,moist_mean,KIL,gam,0.2674633890986151,14.098696404494486
VAR,36,moist_mean,TII,gam,0.4188548803196456,10.96799013075999
VAR,36,moist_mean,PIS,gam,0.009452572058168863,16.597119869376915
VAR,36,moist_mean,HYY,gam,0.39859491588508755,20.692579204850926
VAR,36,moist_mean,KAR,gam,0.010020241753678648,15.631522512110825
VAR,36,moist_mean,VAR,gam,0.3331035573843454,14.50441620071671
VAR,37,moist_mean,KIL,lm,0.2694883810303412,14.758783704793737
VAR,37,moist_mean,TII,lm,0.4225611183667156,11.327357630130818
VAR,37,moist_mean,PIS,lm,0.04097838210926015,15.064718558754958
VAR,37,moist_mean,HYY,lm,0.3269139925583109,17.179657802842115
VAR,37,moist_mean,KAR,lm,0.028891768840676884,17.31317821073453
VAR,37,moist_mean,VAR,lm,0.3721812456235352,13.691323233855796
VAR,37,moist_mean,KIL,gam,0.2710425811103793,14.21016927339621
VAR,37,moist_mean,TII,gam,0.41773593222563415,11.481528721929127
VAR,37,moist_mean,PIS,gam,0.00882611096464601,15.637335797559071
VAR,37,moist_mean,HYY,gam,0.35590520673972637,16.27174198536869
VAR,37,moist_mean,KAR,gam,0.010215626605271158,16.11918395181114
VAR,37,moist_mean,VAR,gam,0.33142643031232266,14.541595550105043
VAR,38,moist_mean,KIL,lm,0.24789421890460134,13.559200584166232
VAR,38,moist_mean,TII,lm,0.4521455328546193,12.098916852888989
VAR,38,moist_mean,PIS,lm,0.05254341920845739,14.197101307798627
VAR,38,moist_mean,HYY,lm,0.28848417228950957,15.412817736769233
VAR,38,moist_mean,KAR,lm,0.02596918907474339,15.315007710436172
VAR,38,moist_mean,VAR,lm,0.3149708021386911,13.33253123326634
VAR,38,moist_mean,KIL,gam,0.24608592737915558,13.157410239541324
VAR,38,moist_mean,TII,gam,0.4410469479563389,12.260993273791025
VAR,38,moist_mean,PIS,gam,0.013121145901263032,15.084760695328734
VAR,38,moist_mean,HYY,gam,0.31939847252405557,14.649302928723221
VAR,38,moist_mean,KAR,gam,0.006922154633847655,14.669323464636445
VAR,38,moist_mean,VAR,gam,0.2839661701315758,14.058098721673586
VAR,39,moist_mean,KIL,lm,0.26077089306045154,13.330178814794081
VAR,39,moist_mean,TII,lm,0.37795200805411416,11.77518357774054
VAR,39,moist_mean,PIS,lm,0.02278038038163757,15.613399089554994
VAR,39,moist_mean,HYY,lm,0.3210428490667871,19.02009828996553
VAR,39,moist_mean,KAR,lm,0.018861513386740893,17.741756444026606
VAR,39,moist_mean,VAR,lm,0.3399527544190733,12.88998403109442
VAR,39,moist_mean,KIL,gam,0.21712562670105995,13.507699076701421
VAR,39,moist_mean,TII,gam,0.27191374051093803,12.665255345584658
VAR,39,moist_mean,PIS,gam,1.3792551308923582e-4,17.36133347498241
VAR,39,moist_mean,HYY,gam,0.3131214430713685,18.868873554115083
VAR,39,moist_mean,KAR,gam,4.183817146495301e-6,18.91048444727923
VAR,39,moist_mean,VAR,gam,0.3065717745866949,13.585161781422075
VAR,40,moist_mean,KIL,lm,0.2436104239554881,12.839431826157563
VAR,40,moist_mean,TII,lm,0.3668355704437716,11.943996202582928
VAR,40,moist_mean,PIS,lm,0.03710272547617651,15.284461464208164
VAR,40,moist_mean,HYY,lm,0.3374859386354441,19.827124806772893
VAR,40,moist_mean,KAR,lm,0.01849447840608378,17.697513026221788
VAR,40,moist_mean,VAR,lm,0.31729993987059724,13.22100969313357
VAR,40,moist_mean,KIL,gam,0.19470993572415254,13.166397027278474
VAR,40,moist_mean,TII,gam,0.2518856537881162,12.9045682634681
VAR,40,moist_mean,PIS,gam,7.718885326316835e-4,17.06992973735166
VAR,40,moist_mean,HYY,gam,0.32624582663621476,19.872680258215624
VAR,40,moist_mean,KAR,gam,4.158554313460932e-5,18.943319759961796
VAR,40,moist_mean,VAR,gam,0.292234335739211,13.813411753538693
VAR,41,moist_mean,KIL,lm,0.2276658736280377,12.152115802106625
VAR,41,moist_mean,TII,lm,0.35479599498588527,11.450724078198746
VAR,41,moist_mean,PIS,lm,0.021810844200080382,14.499811330391356
VAR,41,moist_mean,HYY,lm,0.24150719477017227,16.25851342432954
VAR,41,moist_mean,KAR,lm,0.01139494380122775,15.709001950395029
VAR,41,moist_mean,VAR,lm,0.2509117761941253,13.190399524573385
VAR,41,moist_mean,KIL,gam,0.1720734673812778,12.573704178859701
VAR,41,moist_mean,TII,gam,0.21800030039160137,12.404261125503584
VAR,41,moist_mean,PIS,gam,8.213709265850109e-5,16.091305798583292
VAR,41,moist_mean,HYY,gam,0.2287409937309184,16.33454156942195
VAR,41,moist_mean,KAR,gam,0.0015506039623413913,16.35832450032363
VAR,41,moist_mean,VAR,gam,0.2296071549802154,13.754629817958644
VAR,42,moist_mean,KIL,lm,NA,NA
VAR,42,moist_mean,TII,lm,0.36189531552366744,11.398673663489353
VAR,42,moist_mean,PIS,lm,0.03256737042413104,14.169182880753526
VAR,42,moist_mean,HYY,lm,0.2632672064153377,14.334859945978458
VAR,42,moist_mean,KAR,lm,0.024560094063928867,15.487783251795431
VAR,42,moist_mean,VAR,lm,0.27340658373898485,13.131471434958831
VAR,42,moist_mean,KIL,gam,NA,NA
VAR,42,moist_mean,TII,gam,0.2323989611249631,12.253437691605761
VAR,42,moist_mean,PIS,gam,8.064800413650348e-4,15.52386864303027
VAR,42,moist_mean,HYY,gam,0.24368150895869425,14.400847527492898
VAR,42,moist_mean,KAR,gam,1.2458138856421853e-4,15.821427969600151
VAR,42,moist_mean,VAR,gam,0.2402016599479049,13.84572439338488
VAR,44,moist_mean,KIL,lm,NA,NA
VAR,44,moist_mean,TII,lm,0.3301709232877536,11.601042637965834
VAR,44,moist_mean,PIS,lm,0.23403510857636825,11.803213449368853
VAR,44,moist_mean,HYY,lm,0.3512164350901448,13.076801337551835
VAR,44,moist_mean,KAR,lm,0.07271841910015912,14.77344560209869
VAR,44,moist_mean,VAR,lm,0.3649141355506171,11.69509010181225
VAR,44,moist_mean,KIL,gam,NA,NA
VAR,44,moist_mean,TII,gam,0.3149720388889813,11.645415266920873
VAR,44,moist_mean,PIS,gam,0.19570619433596764,12.204427199953274
VAR,44,moist_mean,HYY,gam,0.3708804563807742,12.960971891496952
VAR,44,moist_mean,KAR,gam,0.05974444026672943,14.145750927553667
VAR,44,moist_mean,VAR,gam,0.31278770701464637,12.518923383328213
VAR,43,moist_mean,KIL,lm,NA,NA
VAR,43,moist_mean,TII,lm,0.3155473281506729,11.674137271675306
VAR,43,moist_mean,PIS,lm,0.17778661845426505,12.708018511476904
VAR,43,moist_mean,HYY,lm,0.28896960883878176,13.007525990851665
VAR,43,moist_mean,KAR,lm,0.07374444839173977,16.126589391553168
VAR,43,moist_mean,VAR,lm,0.2977731552790921,13.895965444275054
VAR,43,moist_mean,KIL,gam,NA,NA
VAR,43,moist_mean,TII,gam,0.20597570807360097,12.038007926242564
VAR,43,moist_mean,PIS,gam,0.05159116802046016,15.339625202172467
VAR,43,moist_mean,HYY,gam,0.28076223250793797,13.411575136684522
VAR,43,moist_mean,KAR,gam,0.02741699604643309,15.67889210793655
VAR,43,moist_mean,VAR,gam,0.2749056996659039,14.752326409711985
TII,21,moist_mean,KIL,lm,NA,NA
TII,21,moist_mean,VAR,lm,NA,NA
TII,21,moist_mean,PIS,lm,0.2873312424432878,36.811269102889035
TII,21,moist_mean,HYY,lm,0.20281088569636674,24.1412563221644
TII,21,moist_mean,KAR,lm,0.17988981968150128,26.453212269151706
TII,21,moist_mean,TII,lm,0.32264350265072933,12.819104227105802
TII,21,moist_mean,KIL,gam,NA,NA
TII,21,moist_mean,VAR,gam,NA,NA
TII,21,moist_mean,PIS,gam,3.3569322417925564e-4,46.402093316639146
TII,21,moist_mean,HYY,gam,0.1784943507383602,25.413714573289372
TII,21,moist_mean,KAR,gam,0.07471099873496573,28.19112494666533
TII,21,moist_mean,TII,gam,0.3793369437512391,12.404507742829788
TII,22,moist_mean,KIL,lm,NA,NA
TII,22,moist_mean,VAR,lm,NA,NA
TII,22,moist_mean,PIS,lm,0.3190362971515657,39.23724771687839
TII,22,moist_mean,HYY,lm,0.1841362826106114,25.238599170387996
TII,22,moist_mean,KAR,lm,0.18271221071139832,26.927013885954246
TII,22,moist_mean,TII,lm,0.27498631783418304,13.80294376011267
TII,22,moist_mean,KIL,gam,NA,NA
TII,22,moist_mean,VAR,gam,NA,NA
TII,22,moist_mean,PIS,gam,0.026052019209641005,46.163720300906355
TII,22,moist_mean,HYY,gam,0.15784484415090025,27.144811994408858
TII,22,moist_mean,KAR,gam,0.1233263676233443,28.509217545829433
TII,22,moist_mean,TII,gam,0.3592218366377994,12.92407807214499
TII,23,moist_mean,KIL,lm,NA,NA
TII,23,moist_mean,VAR,lm,0.11422179729107795,28.646652545668562
TII,23,moist_mean,PIS,lm,0.3695087428170951,31.258208146307336
TII,23,moist_mean,HYY,lm,0.19968538577042994,22.79534436753471
TII,23,moist_mean,KAR,lm,0.229937069444539,22.88989328297828
TII,23,moist_mean,TII,lm,0.2442270350771145,14.094302220651409
